FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,BEL,Belgium,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,,,,,,,,,,,0.93,0.83,0.89,0.85,0.88,0.93,0.78,0.63,0.61,0.51,0.42,0.57,0.58,0.57,0.64,0.58,0.58,0.55,0.56,0.52,0.49,0.51,0.45,0.41
A,Annual,BEN,Benin,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.26,0.25,0.24,0.2,0.26,0.27,0.26,0.14,0.15,0.15,0.14,0.1,0.1,0.1,0.08,0.07,0.1,0.18,0.21,0.24,0.21,0.21,0.16,0.13,0.13,0.13,0.14,0.22,0.35,0.45,0.43,0.38,0.47,0.51
A,Annual,BFA,Burkina Faso,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.1,0.09,0.06,0.05,0.06,0.08,0.1,0.11,0.13,0.12,0.1,0.07,0.06,0.06,0.07,0.09,0.1,0.11,0.14,0.15,0.15,0.13,0.13,0.14,0.16,0.17
A,Annual,BGD,Bangladesh,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.09,0.1,0.09,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
A,Annual,BGR,Bulgaria,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.44,0.45,0.46,0.45,0.43,0.42,0.41,0.4,0.39,0.37,0.36,0.35,0.33,0.32,0.3,0.29,0.28,0.26,0.24,0.23,0.21,0.2,0.18,0.16,0.14,0.21,0.53,0.48,0.72,0.95,0.61,0.65,0.64,0.5
A,Annual,BHR,Bahrain,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.03,0.03,0.03,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01
A,Annual,BHS,"Bahamas, The",FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.88,0.92,0.88,1.08,1.27,1.11,1.43,1.73,1.7,1.73,1.42,1.92,1.65,1.49,1.16,1.27,1.08,1.29,0.68,0.27,0.24,0.39,0.42,0.29,0.31,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45
A,Annual,BIH,Bosnia and Herzegovina,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,,,0.54,0.57,0.59,0.6,0.57,0.55,0.53,0.53,0.53,0.52,0.52,0.51,0.52,0.53,0.53,0.55,0.56,0.55,0.56,0.61,0.62,0.63,0.64,0.65,0.68,0.7,0.72,0.75,0.83,0.84,0.85,0.86
A,Annual,BLR,Belarus,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,,,0.21,0.2,0.2,0.21,0.21,0.21,0.19,0.18,0.18,0.2,0.16,0.2,0.24,0.38,0.4,0.44,0.41,0.41,0.36,0.33,0.26,0.24,0.2,0.15,0.11,0.08,0.09,0.44,0.49,0.45,0.46,0.53
A,Annual,BLZ,Belize,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,4.21,3.72,3.78,3.83,3.88,3.92,3.96,4.0,4.04,4.08,4.11,4.14,4.18,4.2,4.23,3.43,2.68,2.28,3.23,2.52,2.19,2.53,1.91,3.03,2.52,2.99,3.45,3.26,3.64,2.75,3.42,2.84,3.3,3.64
A,Annual,BMU,Bermuda,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.36,0.35,0.35,0.67,1.32,1.84,1.82,1.48,1.27,1.29,1.31,1.33,1.35,1.37,1.39,1.0,0.69,0.73,1.25,1.42,1.26,1.27,1.79,2.39,2.84,3.27,2.82,2.42,1.84,2.11,2.33,2.27,2.15,1.91
A,Annual,BOL,Bolivia,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.35,0.23,0.13,0.17,0.21,0.25,0.29,0.33,0.37,0.4,0.44,0.47,0.5,0.53,0.7,0.76,0.82,0.87,0.9,1.03,1.27,1.34,1.37,1.6,1.52,1.45,1.47,1.91,1.89,1.53,1.63,1.53,1.59,1.29
A,Annual,BRA,Brazil,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.34,0.39,0.44,0.49,0.53,0.58,0.62,0.67,0.71,0.75,0.81,0.86,0.82,1.02,1.18,1.26,1.29,1.62,1.65,1.76,1.86,2.09,2.32,2.38,2.42,2.47,2.53,2.52,2.67,2.99,3.29,3.43,3.81,3.79
A,Annual,BRB,Barbados,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,2.13,2.12,2.11,2.11,1.96,2.53,1.81,0.64,0.63,0.61,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.47,0.45,0.43,0.42,0.4,0.38,0.37,0.35,0.33,0.32,0.3,0.29,0.27,0.26,0.24,0.24,0.24
A,Annual,BRN,Brunei Darussalam,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.47,0.51,0.52,0.62,0.7,0.82,0.88,0.85,0.79,0.68,0.61,0.55,0.51,0.81,0.96,0.94,0.59,0.38,0.32,0.37,0.4,0.44,0.42,0.43,0.45,0.41,0.34,0.33,0.36,0.49,0.64,0.64,0.53,0.36
A,Annual,BTN,Bhutan,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.01,0.01,0.01,0.01,0.04,0.05,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.2,0.23,0.24,0.21,0.22,0.23,0.19
A,Annual,BWA,Botswana,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.27,0.25,0.23,0.18,0.14,0.11,0.11,0.12,0.14,0.17,0.22,0.25,0.25,0.21,0.17,0.18,0.22,0.23,0.22,0.19,0.19,0.21,0.22,0.22,0.22,0.28,0.33,0.42,0.38,0.43,0.5,0.58,0.58,0.51
A,Annual,CAF,Central African Republic,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.05,0.04,0.02,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.05
A,Annual,CAN,Canada,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,1.06,1.05,1.03,1.02,1.0,1.09,1.18,1.27,1.36,1.45,1.29,1.23,1.09,1.12,1.13,1.12,1.12,1.36,1.61,1.61,1.79,1.8,2.1,2.31,2.14,2.09,2.5,2.67,2.35,2.09,2.44,2.54,2.46,2.43
A,Annual,CHE,Switzerland,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.34,0.3,0.29,0.28,0.27,0.26,0.25,0.23,0.22,0.21,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.28,0.29,0.29,0.27,0.29,0.28,0.28,0.27,0.27,0.26,0.24,0.24,0.22,0.22,0.25,0.25,0.17
A,Annual,CHL,Chile,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.25,0.25,0.23,0.23,0.23,0.25,0.31,0.33,0.33,0.3,0.31,0.33,0.36,0.35,0.37,0.39,0.4,0.39,0.38,0.41,0.4,0.41,0.42,0.46,0.47,0.53,0.65,0.73,0.69,0.67,0.73,0.87,0.9,0.9
A,Annual,CHN,China,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.13,0.12,0.13,0.13,0.15,0.17,0.17,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.22,0.2,0.18,0.17,0.16,0.16,0.15
A,Annual,CIV,Cote d'Ivoire,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Annual,CMR,Cameroon,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.2,0.13,0.15,0.1,0.05,0.0,0.01,0.05,0.02,0.04,0.04,0.04,0.14,0.14,0.15,0.13,0.16,0.16,0.14,0.12,0.18,0.2,0.19,0.21,0.25,0.26,0.21,0.29,0.3,0.32,0.41,0.37,0.36,0.35
A,Annual,COD,"Congo, Dem. Rep.",FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
A,Annual,COG,"Congo, Rep.",FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.02,0.02,0.03,0.04,0.06,0.07,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.13,0.14,0.16,0.18,0.16,0.14,0.1,0.09,0.09,0.1,0.13,0.25,0.36,0.46
A,Annual,COK,Cook Islands,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.58,0.58,0.57,0.69,0.85,0.88,0.74,0.53,0.62,0.76,0.95,1.04,1.23,1.36,1.38,1.31,1.31,1.32,1.26,1.06,0.92,0.81,0.85,0.85,0.85,0.86,0.86,0.88,0.9,0.93,0.95,0.98,1.01,1.05
A,Annual,COL,Colombia,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.56,0.51,0.45,0.43,0.49,0.56,0.5,0.43,1.61,1.72,1.94,2.15,2.08,2.17,2.54,2.8,2.3,1.91,1.11,1.16,1.09,1.19,1.07,1.18,1.58,0.72,0.68,0.78,0.77,0.74,0.78,1.53,1.51,0.37
A,Annual,COM,Comoros,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.01,0.01,0.02,0.03,0.04,0.04,0.03,0.02,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.05
